level-0,level-1,level-2,level-3,level-4,level-5,level-6
27500,27444-27544,27444-27944,27444-28444,27444-29944,27444-34944,any
28000,27943-28043,27943-28443,27943-28943,27943-30443,27943-35443,any
28500,28442-28542,28442-28942,28442-29442,28442-30942,28442-35942,any
29000,28941-29041,28941-29441,28941-29941,28941-31441,28941-36441,any
29500,29440-29540,29440-29940,29440-30440,29440-31940,29440-36940,any
30000,29939-30039,29939-30439,29939-30939,29939-32439,29939-37439,any
30500,30438-30538,30438-30938,30438-31438,30438-32938,30438-37938,any
31000,30937-31037,30937-31437,30937-31937,30937-33437,30937-38437,any
31500,31436-31536,31436-31936,31436-32436,31436-33936,31436-38936,any
32000,31935-32035,31935-32435,31935-32935,31935-34435,31935-39435,any
32500,32434-32534,32434-32934,32434-33434,32434-34934,32434-39934,any
33000,32933-33033,32933-33433,32933-33933,32933-35433,32933-40433,any
33500,33432-33532,33432-33932,33432-34432,33432-35932,33432-40932,any
34000,33931-34031,33931-34431,33931-34931,33931-36431,33931-41431,any
34500,34430-34530,34430-34930,34430-35430,34430-36930,34430-41930,any
35000,34929-35029,34929-35429,34929-35929,34929-37429,34929-42429,any
35500,35428-35528,35428-35928,35428-36428,35428-37928,35428-42928,any
36000,35927-36027,35927-36427,35927-36927,35927-38427,35927-43427,any
36500,36426-36526,36426-36926,36426-37426,36426-38926,36426-43926,any
37000,36925-37025,36925-37425,36925-37925,36925-39425,36925-44425,any
37500,37424-37524,37424-37924,37424-38424,37424-39924,37424-44924,any
38000,37923-38023,37923-38423,37923-38923,37923-40423,37923-45423,any
38500,38422-38522,38422-38922,38422-39422,38422-40922,38422-45922,any
39000,38921-39021,38921-39421,38921-39921,38921-41421,38921-46421,any
39500,39420-39520,39420-39920,39420-40420,39420-41920,39420-46920,any
40000,39919-40019,39919-40419,39919-40919,39919-42419,39919-47419,any
40500,40418-40518,40418-40918,40418-41418,40418-42918,40418-47918,any
41000,40917-41017,40917-41417,40917-41917,40917-43417,40917-48417,any
41500,41416-41516,41416-41916,41416-42416,41416-43916,41416-48916,any
42000,41915-42015,41915-42415,41915-42915,41915-44415,41915-49415,any
42500,42414-42514,42414-42914,42414-43414,42414-44914,42414-49914,any
43000,42913-43013,42913-43413,42913-43913,42913-45413,42913-50413,any
43500,43412-43512,43412-43912,43412-44412,43412-45912,43412-50912,any
44000,43911-44011,43911-44411,43911-44911,43911-46411,43911-51411,any
44500,44410-44510,44410-44910,44410-45410,44410-46910,44410-51910,any
45000,44909-45009,44909-45409,44909-45909,44909-47409,44909-52409,any
45500,45408-45508,45408-45908,45408-46408,45408-47908,45408-52908,any
46000,45907-46007,45907-46407,45907-46907,45907-48407,45907-53407,any
46500,46406-46506,46406-46906,46406-47406,46406-48906,46406-53906,any
47000,46905-47005,46905-47405,46905-47905,46905-49405,46905-54405,any
47500,47404-47504,47404-47904,47404-48404,47404-49904,47404-54904,any
48000,47903-48003,47903-48403,47903-48903,47903-50403,47903-55403,any
48500,48402-48502,48402-48902,48402-49402,48402-50902,48402-55902,any
49000,48901-49001,48901-49401,48901-49901,48901-51401,48901-56401,any
49500,49400-49500,49400-49900,49400-50400,49400-51900,49400-56900,any
50000,50000-50100,49899-50399,49899-50899,49899-52399,49899-57399,any
50500,50499-50599,50398-50898,50398-51398,50398-52898,50398-57898,any
51000,50998-51098,50897-51397,50897-51897,50897-53397,50897-58397,any
51500,51497-51597,51396-51896,51396-52396,51396-53896,51396-58896,any
52000,51996-52096,51895-52395,51895-52895,51895-54395,51895-59395,any
52500,52495-52595,52394-52894,52394-53394,52394-54894,52394-59894,any
53000,52994-53094,52893-53393,52893-53893,52893-55393,52893-60393,any
53500,53493-53593,53392-53892,53392-54392,53392-55892,53392-60892,any
54000,53992-54092,53891-54391,53891-54891,53891-56391,53891-61391,any
54500,54491-54591,54390-54890,54390-55390,54390-56890,54390-61890,any
55000,54990-55090,54889-55389,54889-55889,54889-57389,54889-62389,any
55500,55489-55589,55388-55888,55388-56388,55388-57888,55388-62888,any
56000,55988-56088,55887-56387,55887-56887,55887-58387,55887-63387,any
56500,56487-56587,56386-56886,56386-57386,56386-58886,56386-63886,any
57000,56986-57086,56885-57385,56885-57885,56885-59385,56885-64385,any
57500,57485-57585,57384-57884,57384-58384,57384-59884,57384-64884,any
58000,57984-58084,57883-58383,57883-58883,57883-60383,57883-65383,any
58500,58483-58583,58382-58882,58382-59382,58382-60882,58382-65882,any
59000,58982-59082,58881-59381,58881-59881,58881-61381,58881-66381,any
59500,59481-59581,59380-59880,59380-60380,59380-61880,59380-66880,any
60000,59980-60080,59879-60379,59879-60879,59879-62379,59879-67379,any
60500,60479-60579,60378-60878,60378-61378,60378-62878,60378-67878,any
61000,60978-61078,60877-61377,60877-61877,60877-63377,60877-68377,any
61500,61477-61577,61376-61876,61376-62376,61376-63876,61376-68876,any
62000,61976-62076,61875-62375,61875-62875,61875-64375,61875-69375,any
62500,62475-62575,62374-62874,62374-63374,62374-64874,62374-69874,any
63000,62974-63074,62873-63373,62873-63873,62873-65373,62873-70373,any
63500,63473-63573,63372-63872,63372-64372,63372-65872,63372-70872,any
64000,63972-64072,63871-64371,63871-64871,63871-66371,63871-71371,any
64500,64471-64571,64370-64870,64370-65370,64370-66870,64370-71870,any
65000,64970-65070,64869-65369,64869-65869,64869-67369,64869-72369,any
65500,65469-65569,65368-65868,65368-66368,65368-67868,65368-72868,any
66000,65968-66068,65867-66367,65867-66867,65867-68367,65867-73367,any
66500,66467-66567,66366-66866,66366-67366,66366-68866,66366-73866,any
67000,66966-67066,66865-67365,66865-67865,66865-69365,66865-74365,any
67500,67465-67565,67364-67864,67364-68364,67364-69864,67364-74864,any
68000,67964-68064,67863-68363,67863-68863,67863-70363,67863-75363,any
68500,68463-68563,68362-68862,68362-69362,68362-70862,68362-75862,any
69000,68962-69062,68861-69361,68861-69861,68861-71361,68861-76361,any
69500,69461-69561,69360-69860,69360-70360,69360-71860,69360-76860,any
70000,69960-70060,69859-70359,69859-70859,69859-72359,69859-77359,any
70500,70459-70559,70358-70858,70358-71358,70358-72858,70358-77858,any
71000,70958-71058,70857-71357,70857-71857,70857-73357,70857-78357,any
71500,71457-71557,71356-71856,71356-72356,71356-73856,71356-78856,any
72000,71956-72056,71855-72355,71855-72855,71855-74355,71855-79355,any
72500,72455-72555,72354-72854,72354-73354,72354-74854,72354-79854,any
73000,72954-73054,72853-73353,72853-73853,72853-75353,72853-80353,any
73500,73453-73553,73352-73852,73352-74352,73352-75852,73352-80852,any
74000,73952-74052,73851-74351,73851-74851,73851-76351,73851-81351,any
74500,74451-74551,74350-74850,74350-75350,74350-76850,74350-81850,any
75000,74950-75050,74849-75349,74849-75849,74849-77349,74849-82349,any
75500,75449-75549,75348-75848,75348-76348,75348-77848,75348-82848,any
76000,75948-76048,75847-76347,75847-76847,75847-78347,75847-83347,any
76500,76447-76547,76346-76846,76346-77346,76346-78846,76346-83846,any
77000,76946-77046,76845-77345,76845-77845,76845-79345,76845-84345,any
77500,77445-77545,77344-77844,77344-78344,77344-79844,77344-84844,any
78000,77944-78044,77843-78343,77843-78843,77843-80343,77843-85343,any
78500,78443-78543,78342-78842,78342-79342,78342-80842,78342-85842,any
79000,78942-79042,78841-79341,78841-79841,78841-81341,78841-86341,any
79500,79441-79541,79340-79840,79340-80340,79340-81840,79340-86840,any
80000,79940-80040,79839-80339,79839-80839,79839-82339,79839-87339,any
80500,80439-80539,80338-80838,80338-81338,80338-82838,80338-87838,any
81000,80938-81038,80837-81337,80837-81837,80837-83337,80837-88337,any
81500,81437-81537,81336-81836,81336-82336,81336-83836,81336-88836,any
82000,81936-82036,81835-82335,81835-82835,81835-84335,81835-89335,any
82500,82435-82535,82334-82834,82334-83334,82334-84834,82334-89834,any
83000,82934-83034,82833-83333,82833-83833,82833-85333,82833-90333,any
83500,83433-83533,83332-83832,83332-84332,83332-85832,83332-90832,any
84000,83932-84032,83831-84331,83831-84831,83831-86331,83831-91331,any
84500,84431-84531,84330-84830,84330-85330,84330-86830,84330-91830,any
85000,84930-85030,84829-85329,84829-85829,84829-87329,84829-92329,any
85500,85429-85529,85328-85828,85328-86328,85328-87828,85328-92828,any
86000,85928-86028,85827-86327,85827-86827,85827-88327,85827-93327,any
86500,86427-86527,86326-86826,86326-87326,86326-88826,86326-93826,any
87000,86926-87026,86825-87325,86825-87825,86825-89325,86825-94325,any
87500,87425-87525,87324-87824,87324-88324,87324-89824,87324-94824,any
88000,87924-88024,87823-88323,87823-88823,87823-90323,87823-95323,any
88500,88423-88523,88322-88822,88322-89322,88322-90822,88322-95822,any
89000,88922-89022,88821-89321,88821-89821,88821-91321,88821-96321,any
89500,89421-89521,89320-89820,89320-90320,89320-91820,89320-96820,any
90000,89920-90020,89819-90319,89819-90819,89819-92319,89819-97319,any
90500,90419-90519,90318-90818,90318-91318,90318-92818,90318-97818,any
91000,90918-91018,90817-91317,90817-91817,90817-93317,90817-98317,any
91500,91417-91517,91316-91816,91316-92316,91316-93816,91316-98816,any
92000,91916-92016,91815-92315,91815-92815,91815-94315,91815-99315,any
92500,92415-92515,92314-92814,92314-93314,92314-94814,92314-99814,any
93000,92914-93014,92813-93313,92813-93813,92813-95313,92813-100313,any
93500,93413-93513,93312-93812,93312-94312,93312-95812,93312-100812,any
94000,93912-94012,93811-94311,93811-94811,93811-96311,93811-101311,any
94500,94411-94511,94310-94810,94310-95310,94310-96810,94310-101810,any
95000,94910-95010,94809-95309,94809-95809,94809-97309,94809-102309,any
95500,95409-95509,95308-95808,95308-96308,95308-97808,95308-102808,any
96000,95908-96008,95807-96307,95807-96807,95807-98307,95807-103307,any
96500,96407-96507,96306-96806,96306-97306,96306-98806,96306-103806,any
97000,96906-97006,96805-97305,96805-97805,96805-99305,96805-104305,any
97500,97405-97505,97304-97804,97304-98304,97304-99804,97304-104804,any
98000,97904-98004,97803-98303,97803-98803,97803-100303,97803-105303,any
98500,98403-98503,98302-98802,98302-99302,98302-100802,98302-105802,any
99000,98902-99002,98801-99301,98801-99801,98801-101301,98801-106301,any
99500,99401-99501,99300-99800,99300-100300,99300-101800,99300-106800,any
