level-0,level-1,level-2,level-3,level-4,level-5,level-6,level-7
39,35-40,30-40,20-40,0-40,0-80,0-160,any
40,40-45,40-50,40-60,40-80,0-80,0-160,any
41,40-45,40-50,40-60,40-80,0-80,0-160,any
42,40-45,40-50,40-60,40-80,0-80,0-160,any
43,40-45,40-50,40-60,40-80,0-80,0-160,any
44,40-45,40-50,40-60,40-80,0-80,0-160,any
45,45-50,40-50,40-60,40-80,0-80,0-160,any
46,45-50,40-50,40-60,40-80,0-80,0-160,any
47,45-50,40-50,40-60,40-80,0-80,0-160,any
48,45-50,40-50,40-60,40-80,0-80,0-160,any
49,45-50,40-50,40-60,40-80,0-80,0-160,any
50,50-55,50-60,40-60,40-80,0-80,0-160,any
51,50-55,50-60,40-60,40-80,0-80,0-160,any
52,50-55,50-60,40-60,40-80,0-80,0-160,any
53,50-55,50-60,40-60,40-80,0-80,0-160,any
54,50-55,50-60,40-60,40-80,0-80,0-160,any
55,55-60,50-60,40-60,40-80,0-80,0-160,any
56,55-60,50-60,40-60,40-80,0-80,0-160,any
57,55-60,50-60,40-60,40-80,0-80,0-160,any
58,55-60,50-60,40-60,40-80,0-80,0-160,any
59,55-60,50-60,40-60,40-80,0-80,0-160,any
60,60-65,60-70,60-80,40-80,0-80,0-160,any
61,60-65,60-70,60-80,40-80,0-80,0-160,any
62,60-65,60-70,60-80,40-80,0-80,0-160,any
63,60-65,60-70,60-80,40-80,0-80,0-160,any
64,60-65,60-70,60-80,40-80,0-80,0-160,any
65,65-70,60-70,60-80,40-80,0-80,0-160,any
66,65-70,60-70,60-80,40-80,0-80,0-160,any
67,65-70,60-70,60-80,40-80,0-80,0-160,any
68,65-70,60-70,60-80,40-80,0-80,0-160,any
69,65-70,60-70,60-80,40-80,0-80,0-160,any
70,70-75,70-80,60-80,40-80,0-80,0-160,any
71,70-75,70-80,60-80,40-80,0-80,0-160,any
72,70-75,70-80,60-80,40-80,0-80,0-160,any
73,70-75,70-80,60-80,40-80,0-80,0-160,any
74,70-75,70-80,60-80,40-80,0-80,0-160,any
75,75-80,70-80,60-80,40-80,0-80,0-160,any
76,75-80,70-80,60-80,40-80,0-80,0-160,any
77,75-80,70-80,60-80,40-80,0-80,0-160,any
78,75-80,70-80,60-80,40-80,0-80,0-160,any
79,75-80,70-80,60-80,40-80,0-80,0-160,any
80,80-85,80-90,80-100,80-120,80-160,0-160,any
81,80-85,80-90,80-100,80-120,80-160,0-160,any
82,80-85,80-90,80-100,80-120,80-160,0-160,any
83,80-85,80-90,80-100,80-120,80-160,0-160,any
84,80-85,80-90,80-100,80-120,80-160,0-160,any
85,85-90,80-90,80-100,80-120,80-160,0-160,any
86,85-90,80-90,80-100,80-120,80-160,0-160,any
87,85-90,80-90,80-100,80-120,80-160,0-160,any
88,85-90,80-90,80-100,80-120,80-160,0-160,any
89,85-90,80-90,80-100,80-120,80-160,0-160,any
90,90-95,90-100,80-100,80-120,80-160,0-160,any
91,90-95,90-100,80-100,80-120,80-160,0-160,any
92,90-95,90-100,80-100,80-120,80-160,0-160,any
93,90-95,90-100,80-100,80-120,80-160,0-160,any
94,90-95,90-100,80-100,80-120,80-160,0-160,any
95,95-100,90-100,80-100,80-120,80-160,0-160,any
96,95-100,90-100,80-100,80-120,80-160,0-160,any
97,95-100,90-100,80-100,80-120,80-160,0-160,any
98,95-100,90-100,80-100,80-120,80-160,0-160,any
99,95-100,90-100,80-100,80-120,80-160,0-160,any
