level-0,level-1,level-2,level-3,level-4,level-5,level-6
7443,7335-7835,7335-8335,7335-9335,7335-11335,7335-15335,any
7500,7391-7891,7391-8391,7391-9391,7391-11391,7391-15391,any
7688,7578-8078,7578-8578,7578-9578,7578-11578,7578-15578,any
7896,7785-8285,7785-8785,7785-9785,7785-11785,7785-15785,any
7978,7866-8366,7866-8866,7866-9866,7866-11866,7866-15866,any
8000,7887-8387,7887-8887,7887-9887,7887-11887,7887-15887,any
8500,8386-8886,8386-9386,8386-10386,8386-12386,8386-16386,any
8614,8499-8999,8499-9499,8499-10499,8499-12499,8499-16499,any
9000,8884-9384,8884-9884,8884-10884,8884-12884,8884-16884,any
9386,9269-9769,9269-10269,9269-11269,9269-13269,9269-17269,any
9500,9382-9882,9382-10382,9382-11382,9382-13382,9382-17382,any
9562,9443-9943,9443-10443,9443-11443,9443-13443,9443-17443,any
10000,9880-10380,9880-10880,9880-11880,9880-13880,9880-17880,any
10500,10379-10879,10379-11379,10379-12379,10379-14379,10379-18379,any
10520,10398-10898,10398-11398,10398-12398,10398-14398,10398-18398,any
10566,10443-10943,10443-11443,10443-12443,10443-14443,10443-18443,any
10605,10481-10981,10481-11481,10481-12481,10481-14481,10481-18481,any
11000,10875-11375,10875-11875,10875-12875,10875-14875,10875-18875,any
11500,11374-11874,11374-12374,11374-13374,11374-15374,11374-19374,any
11678,11551-12051,11551-12551,11551-13551,11551-15551,11551-19551,any
12000,11872-12372,11872-12872,11872-13872,11872-15872,11872-19872,any
12500,12371-12871,12371-13371,12371-14371,12371-16371,12371-20371,any
13000,12870-13370,12870-13870,12870-14870,12870-16870,12870-20870,any
13500,13369-13869,13369-14369,13369-15369,13369-17369,13369-21369,any
13550,13418-13918,13418-14418,13418-15418,13418-17418,13418-21418,any
14000,13867-14367,13867-14867,13867-15867,13867-17867,13867-21867,any
14084,13950-14450,13950-14950,13950-15950,13950-17950,13950-21950,any
14344,14209-14709,14209-15209,14209-16209,14209-18209,14209-22209,any
14500,14364-14864,14364-15364,14364-16364,14364-18364,14364-22364,any
15000,14863-15363,14863-15863,14863-16863,14863-18863,14863-22863,any
15020,14882-15382,14882-15882,14882-16882,14882-18882,14882-22882,any
15024,14885-15385,14885-15885,14885-16885,14885-18885,14885-22885,any
15500,15360-15860,15360-16360,15360-17360,15360-19360,15360-23360,any
15831,15690-16190,15690-16690,15690-17690,15690-19690,15690-23690,any
16000,15858-16358,15858-16858,15858-17858,15858-19858,15858-23858,any
16500,16357-16857,16357-17357,16357-18357,16357-20357,16357-24357,any
17000,16856-17356,16856-17856,16856-18856,16856-20856,16856-24856,any
17500,17355-17855,17355-18355,17355-19355,17355-21355,17355-25355,any
18000,17854-18354,17854-18854,17854-19854,17854-21854,17854-25854,any
18481,18334-18834,18334-19334,18334-20334,18334-22334,18334-26334,any
18500,18352-18852,18352-19352,18352-20352,18352-22352,18352-26352,any
19000,18851-19351,18851-19851,18851-20851,18851-22851,18851-26851,any
19500,19350-19850,19350-20350,19350-21350,19350-23350,19350-27350,any
20000,19849-20349,19849-20849,19849-21849,19849-23849,19849-27849,any
20051,19899-20399,19899-20899,19899-21899,19899-23899,19899-27899,any
20500,20347-20847,20347-21347,20347-22347,20347-24347,20347-28347,any
21000,20846-21346,20846-21846,20846-22846,20846-24846,20846-28846,any
21500,21345-21845,21345-22345,21345-23345,21345-25345,21345-29345,any
22000,21844-22344,21844-22844,21844-23844,21844-25844,21844-29844,any
22040,21883-22383,21883-22883,21883-23883,21883-25883,21883-29883,any
22500,22342-22842,22342-23342,22342-24342,22342-26342,22342-30342,any
23000,22841-23341,22841-23841,22841-24841,22841-26841,22841-30841,any
23500,23340-23840,23340-24340,23340-25340,23340-27340,23340-31340,any
24000,23839-24339,23839-24839,23839-25839,23839-27839,23839-31839,any
24500,24338-24838,24338-25338,24338-26338,24338-28338,24338-32338,any
25000,24837-25337,24837-25837,24837-26837,24837-28837,24837-32837,any
25124,24960-25460,24960-25960,24960-26960,24960-28960,24960-32960,any
25236,25071-25571,25071-26071,25071-27071,25071-29071,25071-33071,any
25500,25334-25834,25334-26334,25334-27334,25334-29334,25334-33334,any
26000,25833-26333,25833-26833,25833-27833,25833-29833,25833-33833,any
26500,26332-26832,26332-27332,26332-28332,26332-30332,26332-34332,any
27000,26831-27331,26831-27831,26831-28831,26831-30831,26831-34831,any
27500,27330-27830,27330-28330,27330-29330,27330-31330,27330-35330,any
27828,27657-28157,27657-28657,27657-29657,27657-31657,27657-35657,any
28000,27828-28328,27828-28828,27828-29828,27828-31828,27828-35828,any
28500,28327-28827,28327-29327,28327-30327,28327-32327,28327-36327,any
29000,28826-29326,28826-29826,28826-30826,28826-32826,28826-36826,any
29500,29325-29825,29325-30325,29325-31325,29325-33325,29325-37325,any
30000,29824-30324,29824-30824,29824-31824,29824-33824,29824-37824,any
30500,30323-30823,30323-31323,30323-32323,30323-34323,30323-38323,any
31000,30822-31322,30822-31822,30822-32822,30822-34822,30822-38822,any
31500,31321-31821,31321-32321,31321-33321,31321-35321,31321-39321,any
32000,31820-32320,31820-32820,31820-33820,31820-35820,31820-39820,any
32500,32319-32819,32319-33319,32319-34319,32319-36319,32319-40319,any
33000,32818-33318,32818-33818,32818-34818,32818-36818,32818-40818,any
33500,33317-33817,33317-34317,33317-35317,33317-37317,33317-41317,any
34000,33816-34316,33816-34816,33816-35816,33816-37816,33816-41816,any
34095,33910-34410,33910-34910,33910-35910,33910-37910,33910-41910,any
34500,34314-34814,34314-35314,34314-36314,34314-38314,34314-42314,any
35000,34813-35313,34813-35813,34813-36813,34813-38813,34813-42813,any
35500,35312-35812,35312-36312,35312-37312,35312-39312,35312-43312,any
36000,35811-36311,35811-36811,35811-37811,35811-39811,35811-43811,any
36500,36310-36810,36310-37310,36310-38310,36310-40310,36310-44310,any
37000,36809-37309,36809-37809,36809-38809,36809-40809,36809-44809,any
37500,37308-37808,37308-38308,37308-39308,37308-41308,37308-45308,any
38000,37807-38307,37807-38807,37807-39807,37807-41807,37807-45807,any
38500,38306-38806,38306-39306,38306-40306,38306-42306,38306-46306,any
39000,38805-39305,38805-39805,38805-40805,38805-42805,38805-46805,any
39500,39304-39804,39304-40304,39304-41304,39304-43304,39304-47304,any
40000,39803-40303,39803-40803,39803-41803,39803-43803,39803-47803,any
40500,40302-40802,40302-41302,40302-42302,40302-44302,40302-48302,any
41000,40801-41301,40801-41801,40801-42801,40801-44801,40801-48801,any
41310,41110-41610,41110-42110,41110-43110,41110-45110,41110-49110,any
41500,41299-41799,41299-42299,41299-43299,41299-45299,41299-49299,any
42000,41798-42298,41798-42798,41798-43798,41798-45798,41798-49798,any
42500,42297-42797,42297-43297,42297-44297,42297-46297,42297-50297,any
43000,42796-43296,42796-43796,42796-44796,42796-46796,42796-50796,any
43500,43295-43795,43295-44295,43295-45295,43295-47295,43295-51295,any
44000,43794-44294,43794-44794,43794-45794,43794-47794,43794-51794,any
44500,44293-44793,44293-45293,44293-46293,44293-48293,44293-52293,any
45000,44792-45292,44792-45792,44792-46792,44792-48792,44792-52792,any
45500,45291-45791,45291-46291,45291-47291,45291-49291,45291-53291,any
46000,45790-46290,45790-46790,45790-47790,45790-49790,45790-53790,any
46500,46289-46789,46289-47289,46289-48289,46289-50289,46289-54289,any
47000,46788-47288,46788-47788,46788-48788,46788-50788,46788-54788,any
47500,47287-47787,47287-48287,47287-49287,47287-51287,47287-55287,any
48000,47786-48286,47786-48786,47786-49786,47786-51786,47786-55786,any
48500,48285-48785,48285-49285,48285-50285,48285-52285,48285-56285,any
49000,48784-49284,48784-49784,48784-50784,48784-52784,48784-56784,any
49500,49283-49783,49283-50283,49283-51283,49283-53283,49283-57283,any
50000,49782-50282,49782-50782,49782-51782,49782-53782,49782-57782,any
50500,50281-50781,50281-51281,50281-52281,50281-54281,50281-58281,any
51000,50780-51280,50780-51780,50780-52780,50780-54780,50780-58780,any
51500,51279-51779,51279-52279,51279-53279,51279-55279,51279-59279,any
52000,51778-52278,51778-52778,51778-53778,51778-55778,51778-59778,any
52500,52277-52777,52277-53277,52277-54277,52277-56277,52277-60277,any
53000,52776-53276,52776-53776,52776-54776,52776-56776,52776-60776,any
53500,53275-53775,53275-54275,53275-55275,53275-57275,53275-61275,any
54000,53774-54274,53774-54774,53774-55774,53774-57774,53774-61774,any
54500,54273-54773,54273-55273,54273-56273,54273-58273,54273-62273,any
55000,54772-55272,54772-55772,54772-56772,54772-58772,54772-62772,any
55500,55271-55771,55271-56271,55271-57271,55271-59271,55271-63271,any
56000,55770-56270,55770-56770,55770-57770,55770-59770,55770-63770,any
56500,56269-56769,56269-57269,56269-58269,56269-60269,56269-64269,any
57000,56768-57268,56768-57768,56768-58768,56768-60768,56768-64768,any
57500,57267-57767,57267-58267,57267-59267,57267-61267,57267-65267,any
58000,57766-58266,57766-58766,57766-59766,57766-61766,57766-65766,any
58500,58265-58765,58265-59265,58265-60265,58265-62265,58265-66265,any
59000,58764-59264,58764-59764,58764-60764,58764-62764,58764-66764,any
59500,59263-59763,59263-60263,59263-61263,59263-63263,59263-67263,any
60000,59762-60262,59762-60762,59762-61762,59762-63762,59762-67762,any
60500,60261-60761,60261-61261,60261-62261,60261-64261,60261-68261,any
61000,60760-61260,60760-61760,60760-62760,60760-64760,60760-68760,any
61500,61259-61759,61259-62259,61259-63259,61259-65259,61259-69259,any
62000,61758-62258,61758-62758,61758-63758,61758-65758,61758-69758,any
62500,62257-62757,62257-63257,62257-64257,62257-66257,62257-70257,any
63000,62756-63256,62756-63756,62756-64756,62756-66756,62756-70756,any
63500,63255-63755,63255-64255,63255-65255,63255-67255,63255-71255,any
64000,63754-64254,63754-64754,63754-65754,63754-67754,63754-71754,any
64500,64253-64753,64253-65253,64253-66253,64253-68253,64253-72253,any
65000,64752-65252,64752-65752,64752-66752,64752-68752,64752-72752,any
65500,65251-65751,65251-66251,65251-67251,65251-69251,65251-73251,any
66000,65750-66250,65750-66750,65750-67750,65750-69750,65750-73750,any
66500,66249-66749,66249-67249,66249-68249,66249-70249,66249-74249,any
67000,66748-67248,66748-67748,66748-68748,66748-70748,66748-74748,any
67500,67247-67747,67247-68247,67247-69247,67247-71247,67247-75247,any
68000,67746-68246,67746-68746,67746-69746,67746-71746,67746-75746,any
68500,68245-68745,68245-69245,68245-70245,68245-72245,68245-76245,any
69000,68744-69244,68744-69744,68744-70744,68744-72744,68744-76744,any
69500,69243-69743,69243-70243,69243-71243,69243-73243,69243-77243,any
70000,69742-70242,69742-70742,69742-71742,69742-73742,69742-77742,any
70500,70241-70741,70241-71241,70241-72241,70241-74241,70241-78241,any
71000,70740-71240,70740-71740,70740-72740,70740-74740,70740-78740,any
71500,71239-71739,71239-72239,71239-73239,71239-75239,71239-79239,any
72000,71738-72238,71738-72738,71738-73738,71738-75738,71738-79738,any
72500,72237-72737,72237-73237,72237-74237,72237-76237,72237-80237,any
73000,72736-73236,72736-73736,72736-74736,72736-76736,72736-80736,any
73500,73235-73735,73235-74235,73235-75235,73235-77235,73235-81235,any
74000,73734-74234,73734-74734,73734-75734,73734-77734,73734-81734,any
74500,74233-74733,74233-75233,74233-76233,74233-78233,74233-82233,any
75000,74732-75232,74732-75732,74732-76732,74732-78732,74732-82732,any
75500,75231-75731,75231-76231,75231-77231,75231-79231,75231-83231,any
76000,75730-76230,75730-76730,75730-77730,75730-79730,75730-83730,any
76500,76229-76729,76229-77229,76229-78229,76229-80229,76229-84229,any
77000,76728-77228,76728-77728,76728-78728,76728-80728,76728-84728,any
77500,77227-77727,77227-78227,77227-79227,77227-81227,77227-85227,any
78000,77726-78226,77726-78726,77726-79726,77726-81726,77726-85726,any
78500,78225-78725,78225-79225,78225-80225,78225-82225,78225-86225,any
79000,78724-79224,78724-79724,78724-80724,78724-82724,78724-86724,any
79500,79223-79723,79223-80223,79223-81223,79223-83223,79223-87223,any
80000,79722-80222,79722-80722,79722-81722,79722-83722,79722-87722,any
80500,80221-80721,80221-81221,80221-82221,80221-84221,80221-88221,any
81000,80720-81220,80720-81720,80720-82720,80720-84720,80720-88720,any
81500,81219-81719,81219-82219,81219-83219,81219-85219,81219-89219,any
82000,81718-82218,81718-82718,81718-83718,81718-85718,81718-89718,any
82500,82217-82717,82217-83217,82217-84217,82217-86217,82217-90217,any
83000,82716-83216,82716-83716,82716-84716,82716-86716,82716-90716,any
83500,83215-83715,83215-84215,83215-85215,83215-87215,83215-91215,any
84000,83714-84214,83714-84714,83714-85714,83714-87714,83714-91714,any
84500,84213-84713,84213-85213,84213-86213,84213-88213,84213-92213,any
85000,84712-85212,84712-85712,84712-86712,84712-88712,84712-92712,any
85500,85211-85711,85211-86211,85211-87211,85211-89211,85211-93211,any
86000,85710-86210,85710-86710,85710-87710,85710-89710,85710-93710,any
86500,86209-86709,86209-87209,86209-88209,86209-90209,86209-94209,any
87000,86708-87208,86708-87708,86708-88708,86708-90708,86708-94708,any
87500,87207-87707,87207-88207,87207-89207,87207-91207,87207-95207,any
88000,87706-88206,87706-88706,87706-89706,87706-91706,87706-95706,any
88500,88205-88705,88205-89205,88205-90205,88205-92205,88205-96205,any
89000,88704-89204,88704-89704,88704-90704,88704-92704,88704-96704,any
89500,89203-89703,89203-90203,89203-91203,89203-93203,89203-97203,any
90000,89702-90202,89702-90702,89702-91702,89702-93702,89702-97702,any
90500,90201-90701,90201-91201,90201-92201,90201-94201,90201-98201,any
91000,90700-91200,90700-91700,90700-92700,90700-94700,90700-98700,any
91500,91199-91699,91199-92199,91199-93199,91199-95199,91199-99199,any
92000,91698-92198,91698-92698,91698-93698,91698-95698,91698-99698,any
92500,92197-92697,92197-93197,92197-94197,92197-96197,92197-100197,any
93000,92696-93196,92696-93696,92696-94696,92696-96696,92696-100696,any
93500,93195-93695,93195-94195,93195-95195,93195-97195,93195-101195,any
94000,93694-94194,93694-94694,93694-95694,93694-97694,93694-101694,any
94500,94193-94693,94193-95193,94193-96193,94193-98193,94193-102193,any
95000,94692-95192,94692-95692,94692-96692,94692-98692,94692-102692,any
95500,95191-95691,95191-96191,95191-97191,95191-99191,95191-103191,any
96000,95690-96190,95690-96690,95690-97690,95690-99690,95690-103690,any
96500,96189-96689,96189-97189,96189-98189,96189-100189,96189-104189,any
97000,96688-97188,96688-97688,96688-98688,96688-100688,96688-104688,any
97500,97187-97687,97187-98187,97187-99187,97187-101187,97187-105187,any
98000,97686-98186,97686-98686,97686-99686,97686-101686,97686-105686,any
98500,98185-98685,98185-99185,98185-100185,98185-102185,98185-106185,any
99000,98684-99184,98684-99684,98684-100684,98684-102684,98684-106684,any
99500,99183-99683,99183-100183,99183-101183,99183-103183,99183-107183,any
99999,99681-100181,99681-100681,99681-101681,99681-103681,99681-107681,any
