level-0,level-1,level-2,level-3,level-4,level-5
25045,24908-124908,24908-224908,24908-424908,24908-824908,any
25051,24913-124913,24913-224913,24913-424913,24913-824913,any
25124,24985-124985,24985-224985,24985-424985,24985-824985,any
25139,24999-124999,24999-224999,24999-424999,24999-824999,any
25141,25000-125000,25000-225000,25000-425000,25000-825000,any
25216,25074-125074,25074-225074,25074-425074,25074-825074,any
25240,25097-125097,25097-225097,25097-425097,25097-825097,any
25249,25105-125105,25105-225105,25105-425105,25105-825105,any
25265,25120-125120,25120-225120,25120-425120,25120-825120,any
25319,25173-125173,25173-225173,25173-425173,25173-825173,any
25322,25175-125175,25175-225175,25175-425175,25175-825175,any
25386,25238-125238,25238-225238,25238-425238,25238-825238,any
25429,25280-125280,25280-225280,25280-425280,25280-825280,any
25468,25318-125318,25318-225318,25318-425318,25318-825318,any
25497,25346-125346,25346-225346,25346-425346,25346-825346,any
25505,25353-125353,25353-225353,25353-425353,25353-825353,any
25610,25457-125457,25457-225457,25457-425457,25457-825457,any
25631,25477-125477,25477-225477,25477-425477,25477-825477,any
25649,25494-125494,25494-225494,25494-425494,25494-825494,any
25684,25528-125528,25528-225528,25528-425528,25528-825528,any
25690,25533-125533,25533-225533,25533-425533,25533-825533,any
25803,25645-125645,25645-225645,25645-425645,25645-825645,any
25825,25666-125666,25666-225666,25666-425666,25666-825666,any
25826,25666-125666,25666-225666,25666-425666,25666-825666,any
25828,25667-125667,25667-225667,25667-425667,25667-825667,any
25837,25675-125675,25675-225675,25675-425675,25675-825675,any
25864,25701-125701,25701-225701,25701-425701,25701-825701,any
25932,25768-125768,25768-225768,25768-425768,25768-825768,any
25955,25790-125790,25790-225790,25790-425790,25790-825790,any
26009,25843-125843,25843-225843,25843-425843,25843-825843,any
26109,25942-125942,25942-225942,25942-425942,25942-825942,any
26145,25977-125977,25977-225977,25977-425977,25977-825977,any
26248,26079-126079,26079-226079,26079-426079,26079-826079,any
26254,26084-126084,26084-226084,26084-426084,26084-826084,any
26290,26119-126119,26119-226119,26119-426119,26119-826119,any
26358,26186-126186,26186-226186,26186-426186,26186-826186,any
26401,26228-126228,26228-226228,26228-426228,26228-826228,any
26410,26236-126236,26236-226236,26236-426236,26236-826236,any
26451,26276-126276,26276-226276,26276-426276,26276-826276,any
26490,26314-126314,26314-226314,26314-426314,26314-826314,any
26502,26325-126325,26325-226325,26325-426325,26325-826325,any
26522,26344-126344,26344-226344,26344-426344,26344-826344,any
26543,26364-126364,26364-226364,26364-426364,26364-826364,any
26553,26373-126373,26373-226373,26373-426373,26373-826373,any
26598,26417-126417,26417-226417,26417-426417,26417-826417,any
26620,26438-126438,26438-226438,26438-426438,26438-826438,any
26669,26486-126486,26486-226486,26486-426486,26486-826486,any
26671,26487-126487,26487-226487,26487-426487,26487-826487,any
26672,26487-126487,26487-226487,26487-426487,26487-826487,any
26683,26497-126497,26497-226497,26497-426497,26497-826497,any
26698,26511-126511,26511-226511,26511-426511,26511-826511,any
26716,26528-126528,26528-226528,26528-426528,26528-826528,any
26721,26532-126532,26532-226532,26532-426532,26532-826532,any
26756,26566-126566,26566-226566,26566-426566,26566-826566,any
26781,26590-126590,26590-226590,26590-426590,26590-826590,any
26803,26611-126611,26611-226611,26611-426611,26611-826611,any
26832,26639-126639,26639-226639,26639-426639,26639-826639,any
26842,26648-126648,26648-226648,26648-426648,26648-826648,any
26857,26662-126662,26662-226662,26662-426662,26662-826662,any
26865,26669-126669,26669-226669,26669-426669,26669-826669,any
26880,26683-126683,26683-226683,26683-426683,26683-826683,any
26892,26694-126694,26694-226694,26694-426694,26694-826694,any
26898,26699-126699,26699-226699,26699-426699,26699-826699,any
26904,26704-126704,26704-226704,26704-426704,26704-826704,any
26911,26710-126710,26710-226710,26710-426710,26710-826710,any
26915,26713-126713,26713-226713,26713-426713,26713-826713,any
26929,26726-126726,26726-226726,26726-426726,26726-826726,any
26950,26746-126746,26746-226746,26746-426746,26746-826746,any
26966,26761-126761,26761-226761,26761-426761,26761-826761,any
26973,26767-126767,26767-226767,26767-426767,26767-826767,any
26987,26780-126780,26780-226780,26780-426780,26780-826780,any
26990,26782-126782,26782-226782,26782-426782,26782-826782,any
26994,26785-126785,26785-226785,26785-426785,26785-826785,any
26999,26789-126789,26789-226789,26789-426789,26789-826789,any
27012,26801-126801,26801-226801,26801-426801,26801-826801,any
27032,26820-126820,26820-226820,26820-426820,26820-826820,any
27037,26824-126824,26824-226824,26824-426824,26824-826824,any
27044,26830-126830,26830-226830,26830-426830,26830-826830,any
27049,26834-126834,26834-226834,26834-426834,26834-826834,any
27051,26835-126835,26835-226835,26835-426835,26835-826835,any
27053,26836-126836,26836-226836,26836-426836,26836-826836,any
27067,26849-126849,26849-226849,26849-426849,26849-826849,any
27142,26923-126923,26923-226923,26923-426923,26923-826923,any
27153,26933-126933,26933-226933,26933-426933,26933-826933,any
27162,26941-126941,26941-226941,26941-426941,26941-826941,any
27166,26944-126944,26944-226944,26944-426944,26944-826944,any
27184,26961-126961,26961-226961,26961-426961,26961-826961,any
27187,26963-126963,26963-226963,26963-426963,26963-826963,any
27207,26982-126982,26982-226982,26982-426982,26982-826982,any
27242,27016-127016,27016-227016,27016-427016,27016-827016,any
27243,27016-127016,27016-227016,27016-427016,27016-827016,any
27255,27027-127027,27027-227027,27027-427027,27027-827027,any
27305,27076-127076,27076-227076,27076-427076,27076-827076,any
27332,27102-127102,27102-227102,27102-427102,27102-827102,any
27337,27106-127106,27106-227106,27106-427106,27106-827106,any
27380,27148-127148,27148-227148,27148-427148,27148-827148,any
27382,27149-127149,27149-227149,27149-427149,27149-827149,any
27385,27151-127151,27151-227151,27151-427151,27151-827151,any
27408,27173-127173,27173-227173,27173-427173,27173-827173,any
27409,27173-127173,27173-227173,27173-427173,27173-827173,any
27411,27174-127174,27174-227174,27174-427174,27174-827174,any
27415,27177-127177,27177-227177,27177-427177,27177-827177,any
27432,27193-127193,27193-227193,27193-427193,27193-827193,any
27433,27193-127193,27193-227193,27193-427193,27193-827193,any
27444,27203-127203,27203-227203,27203-427203,27203-827203,any
27466,27224-127224,27224-227224,27224-427224,27224-827224,any
27484,27241-127241,27241-227241,27241-427241,27241-827241,any
27494,27250-127250,27250-227250,27250-427250,27250-827250,any
27539,27294-127294,27294-227294,27294-427294,27294-827294,any
27620,27374-127374,27374-227374,27374-427374,27374-827374,any
27624,27377-127377,27377-227377,27377-427377,27377-827377,any
27653,27405-127405,27405-227405,27405-427405,27405-827405,any
27661,27412-127412,27412-227412,27412-427412,27412-827412,any
27669,27419-127419,27419-227419,27419-427419,27419-827419,any
27678,27427-127427,27427-227427,27427-427427,27427-827427,any
27763,27511-127511,27511-227511,27511-427511,27511-827511,any
27766,27513-127513,27513-227513,27513-427513,27513-827513,any
27776,27522-127522,27522-227522,27522-427522,27522-827522,any
27780,27525-127525,27525-227525,27525-427525,27525-827525,any
27802,27546-127546,27546-227546,27546-427546,27546-827546,any
27815,27558-127558,27558-227558,27558-427558,27558-827558,any
27821,27563-127563,27563-227563,27563-427563,27563-827563,any
27834,27575-127575,27575-227575,27575-427575,27575-827575,any
27856,27596-127596,27596-227596,27596-427596,27596-827596,any
27882,27621-127621,27621-227621,27621-427621,27621-827621,any
27886,27624-127624,27624-227624,27624-427624,27624-827624,any
27920,27657-127657,27657-227657,27657-427657,27657-827657,any
27937,27673-127673,27673-227673,27673-427673,27673-827673,any
27939,27674-127674,27674-227674,27674-427674,27674-827674,any
27956,27690-127690,27690-227690,27690-427690,27690-827690,any
27959,27692-127692,27692-227692,27692-427692,27692-827692,any
27979,27711-127711,27711-227711,27711-427711,27711-827711,any
27997,27728-127728,27728-227728,27728-427728,27728-827728,any
28008,27738-127738,27738-227738,27738-427738,27738-827738,any
28031,27760-127760,27760-227760,27760-427760,27760-827760,any
28035,27763-127763,27763-227763,27763-427763,27763-827763,any
28053,27780-127780,27780-227780,27780-427780,27780-827780,any
28061,27787-127787,27787-227787,27787-427787,27787-827787,any
28119,27844-127844,27844-227844,27844-427844,27844-827844,any
28145,27869-127869,27869-227869,27869-427869,27869-827869,any
28151,27874-127874,27874-227874,27874-427874,27874-827874,any
28160,27882-127882,27882-227882,27882-427882,27882-827882,any
28186,27907-127907,27907-227907,27907-427907,27907-827907,any
28197,27917-127917,27917-227917,27917-427917,27917-827917,any
28221,27940-127940,27940-227940,27940-427940,27940-827940,any
28225,27943-127943,27943-227943,27943-427943,27943-827943,any
28281,27998-127998,27998-227998,27998-427998,27998-827998,any
28291,28007-128007,28007-228007,28007-428007,28007-828007,any
28311,28026-128026,28026-228026,28026-428026,28026-828026,any
28334,28048-128048,28048-228048,28048-428048,28048-828048,any
28357,28070-128070,28070-228070,28070-428070,28070-828070,any
28359,28071-128071,28071-228071,28071-428071,28071-828071,any
28366,28077-128077,28077-228077,28077-428077,28077-828077,any
28367,28077-128077,28077-228077,28077-428077,28077-828077,any
28375,28084-128084,28084-228084,28084-428084,28084-828084,any
28419,28127-128127,28127-228127,28127-428127,28127-828127,any
28443,28150-128150,28150-228150,28150-428150,28150-828150,any
28451,28157-128157,28157-228157,28157-428157,28157-828157,any
28455,28160-128160,28160-228160,28160-428160,28160-828160,any
28471,28175-128175,28175-228175,28175-428175,28175-828175,any
28473,28176-128176,28176-228176,28176-428176,28176-828176,any
28497,28199-128199,28199-228199,28199-428199,28199-828199,any
28518,28219-128219,28219-228219,28219-428219,28219-828219,any
28520,28220-128220,28220-228220,28220-428220,28220-828220,any
28568,28267-128267,28267-228267,28267-428267,28267-828267,any
28572,28270-128270,28270-228270,28270-428270,28270-828270,any
28612,28309-128309,28309-228309,28309-428309,28309-828309,any
28648,28344-128344,28344-228344,28344-428344,28344-828344,any
28678,28373-128373,28373-228373,28373-428373,28373-828373,any
28683,28377-128377,28377-228377,28377-428377,28377-828377,any
28729,28422-128422,28422-228422,28422-428422,28422-828422,any
28735,28427-128427,28427-228427,28427-428427,28427-828427,any
28738,28429-128429,28429-228429,28429-428429,28429-828429,any
28765,28455-128455,28455-228455,28455-428455,28455-828455,any
28790,28479-128479,28479-228479,28479-428479,28479-828479,any
28791,28479-128479,28479-228479,28479-428479,28479-828479,any
28848,28535-128535,28535-228535,28535-428535,28535-828535,any
28856,28542-128542,28542-228542,28542-428542,28542-828542,any
28887,28572-128572,28572-228572,28572-428572,28572-828572,any
28929,28613-128613,28613-228613,28613-428613,28613-828613,any
28952,28635-128635,28635-228635,28635-428635,28635-828635,any
28967,28649-128649,28649-228649,28649-428649,28649-828649,any
28984,28665-128665,28665-228665,28665-428665,28665-828665,any
28996,28676-128676,28676-228676,28676-428676,28676-828676,any
29020,28699-128699,28699-228699,28699-428699,28699-828699,any
29036,28714-128714,28714-228714,28714-428714,28714-828714,any
29054,28731-128731,28731-228731,28731-428731,28731-828731,any
29059,28735-128735,28735-228735,28735-428735,28735-828735,any
29075,28750-128750,28750-228750,28750-428750,28750-828750,any
29083,28757-128757,28757-228757,28757-428757,28757-828757,any
29115,28788-128788,28788-228788,28788-428788,28788-828788,any
29145,28817-128817,28817-228817,28817-428817,28817-828817,any
29152,28823-128823,28823-228823,28823-428823,28823-828823,any
29174,28844-128844,28844-228844,28844-428844,28844-828844,any
29231,28900-128900,28900-228900,28900-428900,28900-828900,any
29235,28903-128903,28903-228903,28903-428903,28903-828903,any
29240,28907-128907,28907-228907,28907-428907,28907-828907,any
29250,28916-128916,28916-228916,28916-428916,28916-828916,any
29254,28919-128919,28919-228919,28919-428919,28919-828919,any
29261,28925-128925,28925-228925,28925-428925,28925-828925,any
29276,28939-128939,28939-228939,28939-428939,28939-828939,any
29302,28964-128964,28964-228964,28964-428964,28964-828964,any
29306,28967-128967,28967-228967,28967-428967,28967-828967,any
29312,28972-128972,28972-228972,28972-428972,28972-828972,any
29320,28979-128979,28979-228979,28979-428979,28979-828979,any
29324,28982-128982,28982-228982,28982-428982,28982-828982,any
29361,29018-129018,29018-229018,29018-429018,29018-829018,any
29375,29031-129031,29031-229031,29031-429031,29031-829031,any
29393,29048-129048,29048-229048,29048-429048,29048-829048,any
29430,29084-129084,29084-229084,29084-429084,29084-829084,any
29431,29084-129084,29084-229084,29084-429084,29084-829084,any
29437,29089-129089,29089-229089,29089-429089,29089-829089,any
29441,29092-129092,29092-229092,29092-429092,29092-829092,any
29444,29094-129094,29094-229094,29094-429094,29094-829094,any
29510,29159-129159,29159-229159,29159-429159,29159-829159,any
29522,29170-129170,29170-229170,29170-429170,29170-829170,any
29523,29170-129170,29170-229170,29170-429170,29170-829170,any
29526,29172-129172,29172-229172,29172-429172,29172-829172,any
29557,29202-129202,29202-229202,29202-429202,29202-829202,any
29571,29215-129215,29215-229215,29215-429215,29215-829215,any
29580,29223-129223,29223-229223,29223-429223,29223-829223,any
29582,29224-129224,29224-229224,29224-429224,29224-829224,any
29591,29232-129232,29232-229232,29232-429232,29232-829232,any
29599,29239-129239,29239-229239,29239-429239,29239-829239,any
29616,29255-129255,29255-229255,29255-429255,29255-829255,any
29617,29255-129255,29255-229255,29255-429255,29255-829255,any
29623,29260-129260,29260-229260,29260-429260,29260-829260,any
29658,29294-129294,29294-229294,29294-429294,29294-829294,any
29662,29297-129297,29297-229297,29297-429297,29297-829297,any
29675,29309-129309,29309-229309,29309-429309,29309-829309,any
29696,29329-129329,29329-229329,29329-429329,29329-829329,any
29702,29334-129334,29334-229334,29334-429334,29334-829334,any
29732,29363-129363,29363-229363,29363-429363,29363-829363,any
29762,29392-129392,29392-229392,29392-429392,29392-829392,any
29778,29407-129407,29407-229407,29407-429407,29407-829407,any
29798,29426-129426,29426-229426,29426-429426,29426-829426,any
29807,29434-129434,29434-229434,29434-429434,29434-829434,any
29810,29436-129436,29436-229436,29436-429436,29436-829436,any
29814,29439-129439,29439-229439,29439-429439,29439-829439,any
29819,29443-129443,29443-229443,29443-429443,29443-829443,any
29825,29448-129448,29448-229448,29448-429448,29448-829448,any
29828,29450-129450,29450-229450,29450-429450,29450-829450,any
29841,29462-129462,29462-229462,29462-429462,29462-829462,any
29859,29479-129479,29479-229479,29479-429479,29479-829479,any
29865,29484-129484,29484-229484,29484-429484,29484-829484,any
29866,29484-129484,29484-229484,29484-429484,29484-829484,any
29874,29491-129491,29491-229491,29491-429491,29491-829491,any
29887,29503-129503,29503-229503,29503-429503,29503-829503,any
29904,29519-129519,29519-229519,29519-429519,29519-829519,any
29909,29523-129523,29523-229523,29523-429523,29523-829523,any
29927,29540-129540,29540-229540,29540-429540,29540-829540,any
29928,29540-129540,29540-229540,29540-429540,29540-829540,any
29933,29544-129544,29544-229544,29544-429544,29544-829544,any
29957,29567-129567,29567-229567,29567-429567,29567-829567,any
29962,29571-129571,29571-229571,29571-429571,29571-829571,any
29974,29582-129582,29582-229582,29582-429582,29582-829582,any
29980,29587-129587,29587-229587,29587-429587,29587-829587,any
29984,29590-129590,29590-229590,29590-429590,29590-829590,any
30008,29613-129613,29613-229613,29613-429613,29613-829613,any
30030,29634-129634,29634-229634,29634-429634,29634-829634,any
30035,29638-129638,29638-229638,29638-429638,29638-829638,any
30039,29641-129641,29641-229641,29641-429641,29641-829641,any
30063,29664-129664,29664-229664,29664-429664,29664-829664,any
30069,29669-129669,29669-229669,29669-429669,29669-829669,any
30070,29669-129669,29669-229669,29669-429669,29669-829669,any
30073,29671-129671,29671-229671,29671-429671,29671-829671,any
30111,29708-129708,29708-229708,29708-429708,29708-829708,any
30118,29714-129714,29714-229714,29714-429714,29714-829714,any
30126,29721-129721,29721-229721,29721-429721,29721-829721,any
30219,29813-129813,29813-229813,29813-429813,29813-829813,any
30226,29819-129819,29819-229819,29819-429819,29819-829819,any
30237,29829-129829,29829-229829,29829-429829,29829-829829,any
30244,29835-129835,29835-229835,29835-429835,29835-829835,any
30246,29836-129836,29836-229836,29836-429836,29836-829836,any
30267,29856-129856,29856-229856,29856-429856,29856-829856,any
30269,29857-129857,29857-229857,29857-429857,29857-829857,any
30270,29857-129857,29857-229857,29857-429857,29857-829857,any
30271,29857-129857,29857-229857,29857-429857,29857-829857,any
30289,29874-129874,29874-229874,29874-429874,29874-829874,any
30290,29874-129874,29874-229874,29874-429874,29874-829874,any
30381,29964-129964,29964-229964,29964-429964,29964-829964,any
30424,30006-130006,30006-230006,30006-430006,30006-830006,any
30433,30014-130014,30014-230014,30014-430014,30014-830014,any
30447,30027-130027,30027-230027,30027-430027,30027-830027,any
30457,30036-130036,30036-230036,30036-430036,30036-830036,any
30475,30053-130053,30053-230053,30053-430053,30053-830053,any
30497,30074-130074,30074-230074,30074-430074,30074-830074,any
30499,30075-130075,30075-230075,30075-430075,30075-830075,any
30509,30084-130084,30084-230084,30084-430084,30084-830084,any
30529,30103-130103,30103-230103,30103-430103,30103-830103,any
30559,30132-130132,30132-230132,30132-430132,30132-830132,any
30565,30137-130137,30137-230137,30137-430137,30137-830137,any
30575,30146-130146,30146-230146,30146-430146,30146-830146,any
30599,30169-130169,30169-230169,30169-430169,30169-830169,any
30602,30171-130171,30171-230171,30171-430171,30171-830171,any
30619,30187-130187,30187-230187,30187-430187,30187-830187,any
30653,30220-130220,30220-230220,30220-430220,30220-830220,any
30656,30222-130222,30222-230222,30222-430222,30222-830222,any
30664,30229-130229,30229-230229,30229-430229,30229-830229,any
30673,30237-130237,30237-230237,30237-430237,30237-830237,any
30682,30245-130245,30245-230245,30245-430245,30245-830245,any
30687,30249-130249,30249-230249,30249-430249,30249-830249,any
30713,30274-130274,30274-230274,30274-430274,30274-830274,any
30731,30291-130291,30291-230291,30291-430291,30291-830291,any
30751,30310-130310,30310-230310,30310-430310,30310-830310,any
30759,30317-130317,30317-230317,30317-430317,30317-830317,any
30771,30328-130328,30328-230328,30328-430328,30328-830328,any
30793,30349-130349,30349-230349,30349-430349,30349-830349,any
30796,30351-130351,30351-230351,30351-430351,30351-830351,any
30800,30354-130354,30354-230354,30354-430354,30354-830354,any
30813,30366-130366,30366-230366,30366-430366,30366-830366,any
30824,30376-130376,30376-230376,30376-430376,30376-830376,any
30840,30391-130391,30391-230391,30391-430391,30391-830391,any
30908,30458-130458,30458-230458,30458-430458,30458-830458,any
30912,30461-130461,30461-230461,30461-430461,30461-830461,any
30916,30464-130464,30464-230464,30464-430464,30464-830464,any
30973,30520-130520,30520-230520,30520-430520,30520-830520,any
31007,30553-130553,30553-230553,30553-430553,30553-830553,any
31008,30553-130553,30553-230553,30553-430553,30553-830553,any
31014,30558-130558,30558-230558,30558-430558,30558-830558,any
31023,30566-130566,30566-230566,30566-430566,30566-830566,any
31033,30575-130575,30575-230575,30575-430575,30575-830575,any
31053,30594-130594,30594-230594,30594-430594,30594-830594,any
31069,30609-130609,30609-230609,30609-430609,30609-830609,any
31095,30634-130634,30634-230634,30634-430634,30634-830634,any
31102,30640-130640,30640-230640,30640-430640,30640-830640,any
31137,30674-130674,30674-230674,30674-430674,30674-830674,any
31141,30677-130677,30677-230677,30677-430677,30677-830677,any
31143,30678-130678,30678-230678,30678-430678,30678-830678,any
31161,30695-130695,30695-230695,30695-430695,30695-830695,any
31166,30699-130699,30699-230699,30699-430699,30699-830699,any
31195,30727-130727,30727-230727,30727-430727,30727-830727,any
31221,30752-130752,30752-230752,30752-430752,30752-830752,any
31251,30781-130781,30781-230781,30781-430781,30781-830781,any
31264,30793-130793,30793-230793,30793-430793,30793-830793,any
31267,30795-130795,30795-230795,30795-430795,30795-830795,any
31269,30796-130796,30796-230796,30796-430796,30796-830796,any
31290,30816-130816,30816-230816,30816-430816,30816-830816,any
31339,30864-130864,30864-230864,30864-430864,30864-830864,any
31350,30874-130874,30874-230874,30874-430874,30874-830874,any
31352,30875-130875,30875-230875,30875-430875,30875-830875,any
31359,30881-130881,30881-230881,30881-430881,30881-830881,any
31360,30881-130881,30881-230881,30881-430881,30881-830881,any
31362,30882-130882,30882-230882,30882-430882,30882-830882,any
31365,30884-130884,30884-230884,30884-430884,30884-830884,any
