level-0,level-1,level-2,level-3
22546,22482-222482,22482-622482,any
22641,22576-222576,22576-622576,any
22743,22677-222677,22677-622677,any
22831,22764-222764,22764-622764,any
22900,22832-222832,22832-622832,any
22907,22838-222838,22838-622838,any
22966,22896-222896,22896-622896,any
22978,22907-222907,22907-622907,any
23037,22965-222965,22965-622965,any
23074,23001-223001,23001-623001,any
23157,23083-223083,23083-623083,any
23233,23158-223158,23158-623158,any
23324,23248-223248,23248-623248,any
23438,23361-223361,23361-623361,any
23494,23416-223416,23416-623416,any
23510,23431-223431,23431-623431,any
23545,23465-223465,23465-623465,any
23580,23499-223499,23499-623499,any
23621,23539-223539,23539-623539,any
23646,23563-223563,23563-623563,any
23686,23602-223602,23602-623602,any
23698,23613-223613,23613-623613,any
23740,23654-223654,23654-623654,any
23776,23689-223689,23689-623689,any
23778,23690-223690,23690-623690,any
23780,23691-223691,23691-623691,any
23789,23699-223699,23699-623699,any
23813,23722-223722,23722-623722,any
23871,23779-223779,23779-623779,any
23892,23799-223799,23799-623799,any
23940,23846-223846,23846-623846,any
24008,23913-223913,23913-623913,any
24013,23917-223917,23917-623917,any
24046,23949-223949,23949-623949,any
24050,23952-223952,23952-623952,any
24090,23991-223991,23991-623991,any
24106,24006-224006,24006-624006,any
24108,24007-224007,24007-624007,any
24127,24025-224025,24025-624025,any
24139,24036-224036,24036-624036,any
24153,24049-224049,24049-624049,any
24185,24080-224080,24080-624080,any
24215,24109-224109,24109-624109,any
24243,24136-224136,24136-624136,any
24264,24156-224156,24156-624156,any
24266,24157-224157,24157-624157,any
24292,24182-224182,24182-624182,any
24342,24231-224231,24231-624231,any
24344,24232-224232,24232-624232,any
24364,24251-224251,24251-624251,any
24384,24270-224270,24270-624270,any
24395,24280-224280,24280-624280,any
24473,24357-224357,24357-624357,any
24504,24387-224387,24387-624387,any
24515,24397-224397,24397-624397,any
24529,24410-224410,24410-624410,any
24562,24442-224442,24442-624442,any
24647,24526-224526,24526-624526,any
24694,24572-224572,24572-624572,any
24712,24589-224589,24589-624589,any
24721,24597-224597,24597-624597,any
24723,24598-224598,24598-624598,any
24728,24602-224602,24602-624602,any
24763,24636-224636,24636-624636,any
24790,24662-224662,24662-624662,any
24824,24695-224695,24695-624695,any
24872,24742-224742,24742-624742,any
24896,24765-224765,24765-624765,any
24961,24829-224829,24829-624829,any
24967,24834-224834,24834-624834,any
24982,24848-224848,24848-624848,any
25005,24870-224870,24870-624870,any
25031,24895-224895,24895-624895,any
25045,24908-224908,24908-624908,any
25051,24913-224913,24913-624913,any
25124,24985-224985,24985-624985,any
25139,24999-224999,24999-624999,any
25141,25000-225000,25000-625000,any
25216,25074-225074,25074-625074,any
25240,25097-225097,25097-625097,any
25249,25105-225105,25105-625105,any
25265,25120-225120,25120-625120,any
25319,25173-225173,25173-625173,any
25322,25175-225175,25175-625175,any
25386,25238-225238,25238-625238,any
25429,25280-225280,25280-625280,any
25468,25318-225318,25318-625318,any
25497,25346-225346,25346-625346,any
25505,25353-225353,25353-625353,any
25610,25457-225457,25457-625457,any
25631,25477-225477,25477-625477,any
25649,25494-225494,25494-625494,any
25684,25528-225528,25528-625528,any
25690,25533-225533,25533-625533,any
25803,25645-225645,25645-625645,any
25825,25666-225666,25666-625666,any
25826,25666-225666,25666-625666,any
25828,25667-225667,25667-625667,any
25837,25675-225675,25675-625675,any
25864,25701-225701,25701-625701,any
25932,25768-225768,25768-625768,any
25955,25790-225790,25790-625790,any
26009,25843-225843,25843-625843,any
26109,25942-225942,25942-625942,any
26145,25977-225977,25977-625977,any
26248,26079-226079,26079-626079,any
26254,26084-226084,26084-626084,any
26290,26119-226119,26119-626119,any
26358,26186-226186,26186-626186,any
26401,26228-226228,26228-626228,any
26410,26236-226236,26236-626236,any
26451,26276-226276,26276-626276,any
26490,26314-226314,26314-626314,any
26502,26325-226325,26325-626325,any
26522,26344-226344,26344-626344,any
26543,26364-226364,26364-626364,any
26553,26373-226373,26373-626373,any
26598,26417-226417,26417-626417,any
26620,26438-226438,26438-626438,any
26669,26486-226486,26486-626486,any
26671,26487-226487,26487-626487,any
26672,26487-226487,26487-626487,any
26683,26497-226497,26497-626497,any
26698,26511-226511,26511-626511,any
26716,26528-226528,26528-626528,any
26721,26532-226532,26532-626532,any
26756,26566-226566,26566-626566,any
26781,26590-226590,26590-626590,any
26803,26611-226611,26611-626611,any
26832,26639-226639,26639-626639,any
26842,26648-226648,26648-626648,any
26857,26662-226662,26662-626662,any
26865,26669-226669,26669-626669,any
26880,26683-226683,26683-626683,any
26892,26694-226694,26694-626694,any
26898,26699-226699,26699-626699,any
26904,26704-226704,26704-626704,any
26911,26710-226710,26710-626710,any
26915,26713-226713,26713-626713,any
26929,26726-226726,26726-626726,any
26950,26746-226746,26746-626746,any
26966,26761-226761,26761-626761,any
26973,26767-226767,26767-626767,any
26987,26780-226780,26780-626780,any
26990,26782-226782,26782-626782,any
26994,26785-226785,26785-626785,any
26999,26789-226789,26789-626789,any
27012,26801-226801,26801-626801,any
27032,26820-226820,26820-626820,any
27037,26824-226824,26824-626824,any
27044,26830-226830,26830-626830,any
27049,26834-226834,26834-626834,any
27051,26835-226835,26835-626835,any
27053,26836-226836,26836-626836,any
27067,26849-226849,26849-626849,any
27142,26923-226923,26923-626923,any
27153,26933-226933,26933-626933,any
27162,26941-226941,26941-626941,any
27166,26944-226944,26944-626944,any
27184,26961-226961,26961-626961,any
27187,26963-226963,26963-626963,any
27207,26982-226982,26982-626982,any
27242,27016-227016,27016-627016,any
27243,27016-227016,27016-627016,any
27255,27027-227027,27027-627027,any
27305,27076-227076,27076-627076,any
27332,27102-227102,27102-627102,any
27337,27106-227106,27106-627106,any
27380,27148-227148,27148-627148,any
27382,27149-227149,27149-627149,any
27385,27151-227151,27151-627151,any
27408,27173-227173,27173-627173,any
27409,27173-227173,27173-627173,any
27411,27174-227174,27174-627174,any
27415,27177-227177,27177-627177,any
27432,27193-227193,27193-627193,any
27433,27193-227193,27193-627193,any
27444,27203-227203,27203-627203,any
27466,27224-227224,27224-627224,any
27484,27241-227241,27241-627241,any
27494,27250-227250,27250-627250,any
27539,27294-227294,27294-627294,any
27620,27374-227374,27374-627374,any
27624,27377-227377,27377-627377,any
27653,27405-227405,27405-627405,any
27661,27412-227412,27412-627412,any
27669,27419-227419,27419-627419,any
27678,27427-227427,27427-627427,any
27763,27511-227511,27511-627511,any
27766,27513-227513,27513-627513,any
27776,27522-227522,27522-627522,any
27780,27525-227525,27525-627525,any
27802,27546-227546,27546-627546,any
27815,27558-227558,27558-627558,any
27821,27563-227563,27563-627563,any
27834,27575-227575,27575-627575,any
27856,27596-227596,27596-627596,any
27882,27621-227621,27621-627621,any
27886,27624-227624,27624-627624,any
27920,27657-227657,27657-627657,any
27937,27673-227673,27673-627673,any
27939,27674-227674,27674-627674,any
27956,27690-227690,27690-627690,any
27959,27692-227692,27692-627692,any
27979,27711-227711,27711-627711,any
27997,27728-227728,27728-627728,any
28008,27738-227738,27738-627738,any
28031,27760-227760,27760-627760,any
28035,27763-227763,27763-627763,any
28053,27780-227780,27780-627780,any
28061,27787-227787,27787-627787,any
28119,27844-227844,27844-627844,any
28145,27869-227869,27869-627869,any
28151,27874-227874,27874-627874,any
28160,27882-227882,27882-627882,any
28186,27907-227907,27907-627907,any
28197,27917-227917,27917-627917,any
28221,27940-227940,27940-627940,any
28225,27943-227943,27943-627943,any
28281,27998-227998,27998-627998,any
28291,28007-228007,28007-628007,any
28311,28026-228026,28026-628026,any
28334,28048-228048,28048-628048,any
28357,28070-228070,28070-628070,any
28359,28071-228071,28071-628071,any
28366,28077-228077,28077-628077,any
28367,28077-228077,28077-628077,any
28375,28084-228084,28084-628084,any
28419,28127-228127,28127-628127,any
28443,28150-228150,28150-628150,any
28451,28157-228157,28157-628157,any
28455,28160-228160,28160-628160,any
28471,28175-228175,28175-628175,any
28473,28176-228176,28176-628176,any
28497,28199-228199,28199-628199,any
28518,28219-228219,28219-628219,any
28520,28220-228220,28220-628220,any
28568,28267-228267,28267-628267,any
28572,28270-228270,28270-628270,any
28612,28309-228309,28309-628309,any
28648,28344-228344,28344-628344,any
28678,28373-228373,28373-628373,any
28683,28377-228377,28377-628377,any
28729,28422-228422,28422-628422,any
28735,28427-228427,28427-628427,any
28738,28429-228429,28429-628429,any
28765,28455-228455,28455-628455,any
28790,28479-228479,28479-628479,any
28791,28479-228479,28479-628479,any
28848,28535-228535,28535-628535,any
28856,28542-228542,28542-628542,any
28887,28572-228572,28572-628572,any
28929,28613-228613,28613-628613,any
28952,28635-228635,28635-628635,any
28967,28649-228649,28649-628649,any
28984,28665-228665,28665-628665,any
28996,28676-228676,28676-628676,any
29020,28699-228699,28699-628699,any
29036,28714-228714,28714-628714,any
29054,28731-228731,28731-628731,any
29059,28735-228735,28735-628735,any
29075,28750-228750,28750-628750,any
29083,28757-228757,28757-628757,any
29115,28788-228788,28788-628788,any
29145,28817-228817,28817-628817,any
29152,28823-228823,28823-628823,any
29174,28844-228844,28844-628844,any
29231,28900-228900,28900-628900,any
29235,28903-228903,28903-628903,any
29240,28907-228907,28907-628907,any
29250,28916-228916,28916-628916,any
29254,28919-228919,28919-628919,any
29261,28925-228925,28925-628925,any
29276,28939-228939,28939-628939,any
29302,28964-228964,28964-628964,any
29306,28967-228967,28967-628967,any
29312,28972-228972,28972-628972,any
29320,28979-228979,28979-628979,any
29324,28982-228982,28982-628982,any
29361,29018-229018,29018-629018,any
29375,29031-229031,29031-629031,any
29393,29048-229048,29048-629048,any
29430,29084-229084,29084-629084,any
29431,29084-229084,29084-629084,any
29437,29089-229089,29089-629089,any
29441,29092-229092,29092-629092,any
29444,29094-229094,29094-629094,any
29510,29159-229159,29159-629159,any
29522,29170-229170,29170-629170,any
29523,29170-229170,29170-629170,any
29526,29172-229172,29172-629172,any
29557,29202-229202,29202-629202,any
29571,29215-229215,29215-629215,any
29580,29223-229223,29223-629223,any
29582,29224-229224,29224-629224,any
29591,29232-229232,29232-629232,any
29599,29239-229239,29239-629239,any
29616,29255-229255,29255-629255,any
29617,29255-229255,29255-629255,any
29623,29260-229260,29260-629260,any
29658,29294-229294,29294-629294,any
29662,29297-229297,29297-629297,any
29675,29309-229309,29309-629309,any
29696,29329-229329,29329-629329,any
29702,29334-229334,29334-629334,any
29732,29363-229363,29363-629363,any
29762,29392-229392,29392-629392,any
29778,29407-229407,29407-629407,any
29798,29426-229426,29426-629426,any
29807,29434-229434,29434-629434,any
29810,29436-229436,29436-629436,any
29814,29439-229439,29439-629439,any
29819,29443-229443,29443-629443,any
29825,29448-229448,29448-629448,any
29828,29450-229450,29450-629450,any
29841,29462-229462,29462-629462,any
29859,29479-229479,29479-629479,any
29865,29484-229484,29484-629484,any
29866,29484-229484,29484-629484,any
29874,29491-229491,29491-629491,any
29887,29503-229503,29503-629503,any
29904,29519-229519,29519-629519,any
29909,29523-229523,29523-629523,any
29927,29540-229540,29540-629540,any
29928,29540-229540,29540-629540,any
29933,29544-229544,29544-629544,any
29957,29567-229567,29567-629567,any
29962,29571-229571,29571-629571,any
29974,29582-229582,29582-629582,any
29980,29587-229587,29587-629587,any
29984,29590-229590,29590-629590,any
30008,29613-229613,29613-629613,any
30030,29634-229634,29634-629634,any
30035,29638-229638,29638-629638,any
30039,29641-229641,29641-629641,any
30063,29664-229664,29664-629664,any
30069,29669-229669,29669-629669,any
30070,29669-229669,29669-629669,any
30073,29671-229671,29671-629671,any
30111,29708-229708,29708-629708,any
30118,29714-229714,29714-629714,any
30126,29721-229721,29721-629721,any
30219,29813-229813,29813-629813,any
30226,29819-229819,29819-629819,any
30237,29829-229829,29829-629829,any
30244,29835-229835,29835-629835,any
30246,29836-229836,29836-629836,any
30267,29856-229856,29856-629856,any
30269,29857-229857,29857-629857,any
30270,29857-229857,29857-629857,any
30271,29857-229857,29857-629857,any
30289,29874-229874,29874-629874,any
30290,29874-229874,29874-629874,any
30381,29964-229964,29964-629964,any
30424,30006-230006,30006-630006,any
30433,30014-230014,30014-630014,any
30447,30027-230027,30027-630027,any
30457,30036-230036,30036-630036,any
30475,30053-230053,30053-630053,any
30497,30074-230074,30074-630074,any
30499,30075-230075,30075-630075,any
30509,30084-230084,30084-630084,any
30529,30103-230103,30103-630103,any
30559,30132-230132,30132-630132,any
30565,30137-230137,30137-630137,any
30575,30146-230146,30146-630146,any
30599,30169-230169,30169-630169,any
30602,30171-230171,30171-630171,any
30619,30187-230187,30187-630187,any
30653,30220-230220,30220-630220,any
30656,30222-230222,30222-630222,any
30664,30229-230229,30229-630229,any
30673,30237-230237,30237-630237,any
30682,30245-230245,30245-630245,any
30687,30249-230249,30249-630249,any
30713,30274-230274,30274-630274,any
30731,30291-230291,30291-630291,any
30751,30310-230310,30310-630310,any
30759,30317-230317,30317-630317,any
30771,30328-230328,30328-630328,any
30793,30349-230349,30349-630349,any
30796,30351-230351,30351-630351,any
30800,30354-230354,30354-630354,any
30813,30366-230366,30366-630366,any
30824,30376-230376,30376-630376,any
30840,30391-230391,30391-630391,any
30908,30458-230458,30458-630458,any
30912,30461-230461,30461-630461,any
30916,30464-230464,30464-630464,any
30973,30520-230520,30520-630520,any
31007,30553-230553,30553-630553,any
31008,30553-230553,30553-630553,any
31014,30558-230558,30558-630558,any
31023,30566-230566,30566-630566,any
31033,30575-230575,30575-630575,any
31053,30594-230594,30594-630594,any
31069,30609-230609,30609-630609,any
31095,30634-230634,30634-630634,any
31102,30640-230640,30640-630640,any
31137,30674-230674,30674-630674,any
31141,30677-230677,30677-630677,any
31143,30678-230678,30678-630678,any
31161,30695-230695,30695-630695,any
31166,30699-230699,30699-630699,any
31195,30727-230727,30727-630727,any
31221,30752-230752,30752-630752,any
31251,30781-230781,30781-630781,any
31264,30793-230793,30793-630793,any
31267,30795-230795,30795-630795,any
31269,30796-230796,30796-630796,any
31290,30816-230816,30816-630816,any
31339,30864-230864,30864-630864,any
31350,30874-230874,30874-630874,any
31352,30875-230875,30875-630875,any
31359,30881-230881,30881-630881,any
31360,30881-230881,30881-630881,any
31362,30882-230882,30882-630882,any
31365,30884-230884,30884-630884,any
31368,30886-230886,30886-630886,any
31387,30904-230904,30904-630904,any
31389,30905-230905,30905-630905,any
31391,30906-230906,30906-630906,any
31428,30942-230942,30942-630942,any
31432,30945-230945,30945-630945,any
31438,30950-230950,30950-630950,any
31449,30960-230960,30960-630960,any
31460,30970-230970,30970-630970,any
31478,30987-230987,30987-630987,any
31481,30989-230989,30989-630989,any
31493,31000-231000,31000-631000,any
31510,31016-231016,31016-631016,any
31532,31037-231037,31037-631037,any
31533,31037-231037,31037-631037,any
31573,31076-231076,31076-631076,any
31577,31079-231079,31079-631079,any
31588,31089-231089,31089-631089,any
31600,31100-231100,31100-631100,any
31603,31102-231102,31102-631102,any
31606,31104-231104,31104-631104,any
31621,31118-231118,31118-631118,any
31627,31123-231123,31123-631123,any
31650,31145-231145,31145-631145,any
31659,31153-231153,31153-631153,any
31670,31163-231163,31163-631163,any
31703,31195-231195,31195-631195,any
31717,31208-231208,31208-631208,any
31725,31215-231215,31215-631215,any
31728,31217-231217,31217-631217,any
31732,31220-231220,31220-631220,any
31740,31227-231227,31227-631227,any
31757,31243-231243,31243-631243,any
31778,31263-231263,31263-631263,any
31782,31266-231266,31266-631266,any
31801,31284-231284,31284-631284,any
31807,31289-231289,31289-631289,any
31826,31307-231307,31307-631307,any
31838,31318-231318,31318-631318,any
31840,31319-231319,31319-631319,any
31842,31320-231320,31320-631320,any
31848,31325-231325,31325-631325,any
31873,31349-231349,31349-631349,any
31905,31380-231380,31380-631380,any
31924,31398-231398,31398-631398,any
31935,31408-231408,31408-631408,any
31964,31436-231436,31436-631436,any
31965,31436-231436,31436-631436,any
31983,31453-231453,31453-631453,any
31985,31454-231454,31454-631454,any
31993,31461-231461,31461-631461,any
32000,31467-231467,31467-631467,any
32008,31474-231474,31474-631474,any
32016,31481-231481,31481-631481,any
32059,31523-231523,31523-631523,any
32121,31584-231584,31584-631584,any
32124,31586-231586,31586-631586,any
32126,31587-231587,31587-631587,any
32146,31606-231606,31606-631606,any
32172,31631-231631,31631-631631,any
32185,31643-231643,31643-631643,any
32186,31643-231643,31643-631643,any
32212,31668-231668,31668-631668,any
32214,31669-231669,31669-631669,any
32220,31674-231674,31674-631674,any
32239,31692-231692,31692-631692,any
32244,31696-231696,31696-631696,any
32271,31722-231722,31722-631722,any
32275,31725-231725,31725-631725,any
32276,31725-231725,31725-631725,any
32280,31728-231728,31728-631728,any
32287,31734-231734,31734-631734,any
32291,31737-231737,31737-631737,any
32311,31756-231756,31756-631756,any
32312,31756-231756,31756-631756,any
32316,31759-231759,31759-631759,any
32334,31776-231776,31776-631776,any
32356,31797-231797,31797-631797,any
32365,31805-231805,31805-631805,any
32372,31811-231811,31811-631811,any
32385,31823-231823,31823-631823,any
32406,31843-231843,31843-631843,any
32423,31859-231859,31859-631859,any
32426,31861-231861,31861-631861,any
32446,31880-231880,31880-631880,any
32451,31884-231884,31884-631884,any
32477,31909-231909,31909-631909,any
32509,31940-231940,31940-631940,any
32519,31949-231949,31949-631949,any
32528,31957-231957,31957-631957,any
32533,31961-231961,31961-631961,any
32537,31964-231964,31964-631964,any
32546,31972-231972,31972-631972,any
32550,31975-231975,31975-631975,any
32552,31976-231976,31976-631976,any
32587,32010-232010,32010-632010,any
32604,32026-232026,32026-632026,any
32607,32028-232028,32028-632028,any
32616,32036-232036,32036-632036,any
32627,32046-232046,32046-632046,any
32639,32057-232057,32057-632057,any
32650,32067-232067,32067-632067,any
32668,32084-232084,32084-632084,any
32694,32109-232109,32109-632109,any
32709,32123-232123,32123-632123,any
32732,32145-232145,32145-632145,any
32763,32175-232175,32175-632175,any
32776,32187-232187,32187-632187,any
32778,32188-232188,32188-632188,any
32779,32188-232188,32188-632188,any
32801,32209-232209,32209-632209,any
32825,32232-232232,32232-632232,any
32837,32243-232243,32243-632243,any
32855,32260-232260,32260-632260,any
32878,32282-232282,32282-632282,any
32896,32299-232299,32299-632299,any
32897,32299-232299,32299-632299,any
32916,32317-232317,32317-632317,any
32921,32321-232321,32321-632321,any
32922,32321-232321,32321-632321,any
32950,32348-232348,32348-632348,any
32954,32351-232351,32351-632351,any
32958,32354-232354,32354-632354,any
32981,32376-232376,32376-632376,any
33001,32395-232395,32395-632395,any
33002,32395-232395,32395-632395,any
33016,32408-232408,32408-632408,any
33035,32426-232426,32426-632426,any
33068,32458-232458,32458-632458,any
33087,32476-232476,32476-632476,any
33088,32476-232476,32476-632476,any
33105,32492-232492,32492-632492,any
33109,32495-232495,32495-632495,any
33114,32499-232499,32499-632499,any
33117,32501-232501,32501-632501,any
33121,32504-232504,32504-632504,any
33124,32506-232506,32506-632506,any
33126,32507-232507,32507-632507,any
33138,32518-232518,32518-632518,any
33142,32521-232521,32521-632521,any
33155,32533-232533,32533-632533,any
33186,32563-232563,32563-632563,any
33213,32589-232589,32589-632589,any
33221,32596-232596,32596-632596,any
33234,32608-232608,32608-632608,any
33266,32639-232639,32639-632639,any
33274,32646-232646,32646-632646,any
33300,32671-232671,32671-632671,any
33304,32674-232674,32674-632674,any
33308,32677-232677,32677-632677,any
33309,32677-232677,32677-632677,any
33310,32677-232677,32677-632677,any
33315,32681-232681,32681-632681,any
33323,32688-232688,32688-632688,any
33331,32695-232695,32695-632695,any
33339,32702-232702,32702-632702,any
33350,32712-232712,32712-632712,any
33355,32716-232716,32716-632716,any
33363,32723-232723,32723-632723,any
33365,32724-232724,32724-632724,any
33373,32731-232731,32731-632731,any
33374,32731-232731,32731-632731,any
33394,32750-232750,32750-632750,any
33397,32752-232752,32752-632752,any
33404,32758-232758,32758-632758,any
33417,32770-232770,32770-632770,any
33423,32775-232775,32775-632775,any
33429,32780-232780,32780-632780,any
33432,32782-232782,32782-632782,any
33442,32791-232791,32791-632791,any
33487,32835-232835,32835-632835,any
33521,32868-232868,32868-632868,any
33551,32897-232897,32897-632897,any
33608,32953-232953,32953-632953,any
33610,32954-232954,32954-632954,any
33616,32959-232959,32959-632959,any
33619,32961-232961,32961-632961,any
33644,32985-232985,32985-632985,any
33658,32998-232998,32998-632998,any
33662,33001-233001,33001-633001,any
33669,33007-233007,33007-633007,any
33673,33010-233010,33010-633010,any
33678,33014-233014,33014-633014,any
33688,33023-233023,33023-633023,any
33710,33044-233044,33044-633044,any
33717,33050-233050,33050-633050,any
33725,33057-233057,33057-633057,any
33727,33058-233058,33058-633058,any
33729,33059-233059,33059-633059,any
33794,33123-233123,33123-633123,any
33795,33123-233123,33123-633123,any
33798,33125-233125,33125-633125,any
33811,33137-233137,33137-633137,any
33831,33156-233156,33156-633156,any
33842,33166-233166,33166-633166,any
33863,33186-233186,33186-633186,any
33865,33187-233187,33187-633187,any
33884,33205-233205,33205-633205,any
33886,33206-233206,33206-633206,any
33887,33206-233206,33206-633206,any
33895,33213-233213,33213-633213,any
33939,33256-233256,33256-633256,any
33945,33261-233261,33261-633261,any
33975,33290-233290,33290-633290,any
33983,33297-233297,33297-633297,any
34007,33320-233320,33320-633320,any
34019,33331-233331,33331-633331,any
34021,33332-233332,33332-633332,any
34028,33338-233338,33338-633338,any
34029,33338-233338,33338-633338,any
34037,33345-233345,33345-633345,any
34066,33373-233373,33373-633373,any
34067,33373-233373,33373-633373,any
34080,33385-233385,33385-633385,any
34088,33392-233392,33392-633392,any
34091,33394-233394,33394-633394,any
34098,33400-233400,33400-633400,any
34100,33401-233401,33401-633401,any
34102,33402-233402,33402-633402,any
34104,33403-233403,33403-633403,any
34110,33408-233408,33408-633408,any
34112,33409-233409,33409-633409,any
34113,33409-233409,33409-633409,any
34122,33417-233417,33417-633417,any
34125,33419-233419,33419-633419,any
34127,33420-233420,33420-633420,any
34146,33438-233438,33438-633438,any
34161,33452-233452,33452-633452,any
34173,33463-233463,33463-633463,any
34178,33467-233467,33467-633467,any
34180,33468-233468,33468-633468,any
34186,33473-233473,33473-633473,any
34218,33504-233504,33504-633504,any
34233,33518-233518,33518-633518,any
34246,33530-233530,33530-633530,any
34248,33531-233531,33531-633531,any
34269,33551-233551,33551-633551,any
34273,33554-233554,33554-633554,any
34278,33558-233558,33558-633558,any
34292,33571-233571,33571-633571,any
34297,33575-233575,33575-633575,any
34307,33584-233584,33584-633584,any
34310,33586-233586,33586-633586,any
34321,33596-233596,33596-633596,any
34335,33609-233609,33609-633609,any
34339,33612-233612,33612-633612,any
34340,33612-233612,33612-633612,any
34361,33632-233632,33632-633632,any
34364,33634-233634,33634-633634,any
34368,33637-233637,33637-633637,any
34374,33642-233642,33642-633642,any
34377,33644-233644,33644-633644,any
34378,33644-233644,33644-633644,any
34383,33648-233648,33648-633648,any
34393,33657-233657,33657-633657,any
34402,33665-233665,33665-633665,any
34419,33681-233681,33681-633681,any
34437,33698-233698,33698-633698,any
34443,33703-233703,33703-633703,any
34446,33705-233705,33705-633705,any
34452,33710-233710,33710-633710,any
34458,33715-233715,33715-633715,any
34503,33759-233759,33759-633759,any
34506,33761-233761,33761-633761,any
34532,33786-233786,33786-633786,any
34540,33793-233793,33793-633793,any
34541,33793-233793,33793-633793,any
34545,33796-233796,33796-633796,any
34568,33818-233818,33818-633818,any
34572,33821-233821,33821-633821,any
34574,33822-233822,33822-633822,any
34590,33837-233837,33837-633837,any
34616,33862-233862,33862-633862,any
34626,33871-233871,33871-633871,any
34632,33876-233876,33876-633876,any
34640,33883-233883,33883-633883,any
34701,33943-233943,33943-633943,any
34706,33947-233947,33947-633947,any
34722,33962-233962,33962-633962,any
34744,33983-233983,33983-633983,any
34747,33985-233985,33985-633985,any
34748,33985-233985,33985-633985,any
34788,34024-234024,34024-634024,any
34796,34031-234031,34031-634031,any
34803,34037-234037,34037-634037,any
34816,34049-234049,34049-634049,any
34832,34064-234064,34064-634064,any
34845,34076-234076,34076-634076,any
34848,34078-234078,34078-634078,any
34862,34091-234091,34091-634091,any
34878,34106-234106,34106-634106,any
34918,34145-234145,34145-634145,any
34935,34161-234161,34161-634161,any
34965,34190-234190,34190-634190,any
34973,34197-234197,34197-634197,any
34975,34198-234198,34198-634198,any
34987,34209-234209,34209-634209,any
34996,34217-234217,34217-634217,any
34998,34218-234218,34218-634218,any
35001,34220-234220,34220-634220,any
35015,34233-234233,34233-634233,any
35021,34238-234238,34238-634238,any
35032,34248-234248,34248-634248,any
35034,34249-234249,34249-634249,any
35065,34279-234279,34279-634279,any
35092,34305-234305,34305-634305,any
35102,34314-234314,34314-634314,any
35136,34347-234347,34347-634347,any
35166,34376-234376,34376-634376,any
35210,34419-234419,34419-634419,any
35211,34419-234419,34419-634419,any
35224,34431-234431,34431-634431,any
35236,34442-234442,34442-634442,any
35245,34450-234450,34450-634450,any
35295,34499-234499,34499-634499,any
35303,34506-234506,34506-634506,any
35305,34507-234507,34507-634507,any
35309,34510-234510,34510-634510,any
35330,34530-234530,34530-634530,any
35340,34539-234539,34539-634539,any
35373,34571-234571,34571-634571,any
35378,34575-234575,34575-634575,any
35406,34602-234602,34602-634602,any
35411,34606-234606,34606-634606,any
35424,34618-234618,34618-634618,any
35429,34622-234622,34622-634622,any
35448,34640-234640,34640-634640,any
35459,34650-234650,34650-634650,any
35494,34684-234684,34684-634684,any
35507,34696-234696,34696-634696,any
35520,34708-234708,34708-634708,any
35523,34710-234710,34710-634710,any
35551,34737-234737,34737-634737,any
35557,34742-234742,34742-634742,any
35561,34745-234745,34745-634745,any
35576,34759-234759,34759-634759,any
35595,34777-234777,34777-634777,any
35598,34779-234779,34779-634779,any
35603,34783-234783,34783-634783,any
35626,34805-234805,34805-634805,any
