level-0,level-1,level-2,level-3
4500,4421-6421,4421-12421,any
4508,4428-6428,4428-12428,any
4650,4569-6569,4569-12569,any
4687,4605-6605,4605-12605,any
4787,4704-6704,4704-12704,any
4865,4781-6781,4781-12781,any
4931,4846-6846,4846-12846,any
4934,4848-6848,4848-12848,any
5000,4913-6913,4913-12913,any
5013,4925-6925,4925-12925,any
5060,4971-6971,4971-12971,any
5178,5088-7088,5088-13088,any
5455,5364-7364,5364-13364,any
5500,5408-7408,5408-13408,any
5556,5463-7463,5463-13463,any
5721,5627-7627,5627-13627,any
6000,5905-7905,5905-13905,any
6097,6001-8001,6001-14001,any
6360,6263-8263,6263-14263,any
6418,6320-8320,6320-14320,any
6497,6398-8398,6398-14398,any
6500,6400-8400,6400-14400,any
6514,6413-8413,6413-14413,any
6723,6621-8621,6621-14621,any
6767,6664-8664,6664-14664,any
6849,6745-8745,6745-14745,any
7000,6895-8895,6895-14895,any
7298,7192-9192,7192-15192,any
7430,7323-9323,7323-15323,any
7443,7335-9335,7335-15335,any
7500,7391-9391,7391-15391,any
7688,7578-9578,7578-15578,any
7896,7785-9785,7785-15785,any
7978,7866-9866,7866-15866,any
8000,7887-9887,7887-15887,any
8500,8386-10386,8386-16386,any
8614,8499-10499,8499-16499,any
9000,8884-10884,8884-16884,any
9386,9269-11269,9269-17269,any
9500,9382-11382,9382-17382,any
9562,9443-11443,9443-17443,any
10000,9880-11880,9880-17880,any
10500,10379-12379,10379-18379,any
10520,10398-12398,10398-18398,any
10566,10443-12443,10443-18443,any
10605,10481-12481,10481-18481,any
11000,10875-12875,10875-18875,any
11500,11374-13374,11374-19374,any
11678,11551-13551,11551-19551,any
12000,11872-13872,11872-19872,any
12500,12371-14371,12371-20371,any
13000,12870-14870,12870-20870,any
13500,13369-15369,13369-21369,any
13550,13418-15418,13418-21418,any
14000,13867-15867,13867-21867,any
14084,13950-15950,13950-21950,any
14344,14209-16209,14209-22209,any
14500,14364-16364,14364-22364,any
15000,14863-16863,14863-22863,any
15020,14882-16882,14882-22882,any
15024,14885-16885,14885-22885,any
15500,15360-17360,15360-23360,any
15831,15690-17690,15690-23690,any
16000,15858-17858,15858-23858,any
16500,16357-18357,16357-24357,any
17000,16856-18856,16856-24856,any
17500,17355-19355,17355-25355,any
18000,17854-19854,17854-25854,any
18481,18334-20334,18334-26334,any
18500,18352-20352,18352-26352,any
19000,18851-20851,18851-26851,any
19500,19350-21350,19350-27350,any
20000,19849-21849,19849-27849,any
20051,19899-21899,19899-27899,any
20500,20347-22347,20347-28347,any
21000,20846-22846,20846-28846,any
21500,21345-23345,21345-29345,any
22000,21844-23844,21844-29844,any
22040,21883-23883,21883-29883,any
22500,22342-24342,22342-30342,any
23000,22841-24841,22841-30841,any
23500,23340-25340,23340-31340,any
24000,23839-25839,23839-31839,any
24500,24338-26338,24338-32338,any
25000,24837-26837,24837-32837,any
25124,24960-26960,24960-32960,any
25236,25071-27071,25071-33071,any
25500,25334-27334,25334-33334,any
26000,25833-27833,25833-33833,any
26500,26332-28332,26332-34332,any
27000,26831-28831,26831-34831,any
27500,27330-29330,27330-35330,any
27828,27657-29657,27657-35657,any
28000,27828-29828,27828-35828,any
28500,28327-30327,28327-36327,any
29000,28826-30826,28826-36826,any
29500,29325-31325,29325-37325,any
30000,29824-31824,29824-37824,any
30500,30323-32323,30323-38323,any
31000,30822-32822,30822-38822,any
31500,31321-33321,31321-39321,any
32000,31820-33820,31820-39820,any
32500,32319-34319,32319-40319,any
33000,32818-34818,32818-40818,any
33500,33317-35317,33317-41317,any
34000,33816-35816,33816-41816,any
34095,33910-35910,33910-41910,any
34500,34314-36314,34314-42314,any
35000,34813-36813,34813-42813,any
35500,35312-37312,35312-43312,any
36000,35811-37811,35811-43811,any
36500,36310-38310,36310-44310,any
37000,36809-38809,36809-44809,any
37500,37308-39308,37308-45308,any
38000,37807-39807,37807-45807,any
38500,38306-40306,38306-46306,any
39000,38805-40805,38805-46805,any
39500,39304-41304,39304-47304,any
40000,39803-41803,39803-47803,any
40500,40302-42302,40302-48302,any
41000,40801-42801,40801-48801,any
41310,41110-43110,41110-49110,any
41500,41299-43299,41299-49299,any
42000,41798-43798,41798-49798,any
42500,42297-44297,42297-50297,any
43000,42796-44796,42796-50796,any
43500,43295-45295,43295-51295,any
44000,43794-45794,43794-51794,any
44500,44293-46293,44293-52293,any
45000,44792-46792,44792-52792,any
45500,45291-47291,45291-53291,any
46000,45790-47790,45790-53790,any
46500,46289-48289,46289-54289,any
47000,46788-48788,46788-54788,any
47500,47287-49287,47287-55287,any
48000,47786-49786,47786-55786,any
48500,48285-50285,48285-56285,any
49000,48784-50784,48784-56784,any
49500,49283-51283,49283-57283,any
50000,49782-51782,49782-57782,any
50500,50281-52281,50281-58281,any
51000,50780-52780,50780-58780,any
51500,51279-53279,51279-59279,any
52000,51778-53778,51778-59778,any
52500,52277-54277,52277-60277,any
53000,52776-54776,52776-60776,any
53500,53275-55275,53275-61275,any
54000,53774-55774,53774-61774,any
54500,54273-56273,54273-62273,any
55000,54772-56772,54772-62772,any
55500,55271-57271,55271-63271,any
56000,55770-57770,55770-63770,any
56500,56269-58269,56269-64269,any
57000,56768-58768,56768-64768,any
57500,57267-59267,57267-65267,any
58000,57766-59766,57766-65766,any
58500,58265-60265,58265-66265,any
59000,58764-60764,58764-66764,any
59500,59263-61263,59263-67263,any
60000,59762-61762,59762-67762,any
60500,60261-62261,60261-68261,any
61000,60760-62760,60760-68760,any
61500,61259-63259,61259-69259,any
62000,61758-63758,61758-69758,any
62500,62257-64257,62257-70257,any
63000,62756-64756,62756-70756,any
63500,63255-65255,63255-71255,any
64000,63754-65754,63754-71754,any
64500,64253-66253,64253-72253,any
65000,64752-66752,64752-72752,any
65500,65251-67251,65251-73251,any
66000,65750-67750,65750-73750,any
66500,66249-68249,66249-74249,any
67000,66748-68748,66748-74748,any
67500,67247-69247,67247-75247,any
68000,67746-69746,67746-75746,any
68500,68245-70245,68245-76245,any
69000,68744-70744,68744-76744,any
69500,69243-71243,69243-77243,any
70000,69742-71742,69742-77742,any
70500,70241-72241,70241-78241,any
71000,70740-72740,70740-78740,any
71500,71239-73239,71239-79239,any
72000,71738-73738,71738-79738,any
72500,72237-74237,72237-80237,any
73000,72736-74736,72736-80736,any
73500,73235-75235,73235-81235,any
74000,73734-75734,73734-81734,any
74500,74233-76233,74233-82233,any
75000,74732-76732,74732-82732,any
75500,75231-77231,75231-83231,any
76000,75730-77730,75730-83730,any
76500,76229-78229,76229-84229,any
77000,76728-78728,76728-84728,any
77500,77227-79227,77227-85227,any
78000,77726-79726,77726-85726,any
78500,78225-80225,78225-86225,any
79000,78724-80724,78724-86724,any
79500,79223-81223,79223-87223,any
80000,79722-81722,79722-87722,any
80500,80221-82221,80221-88221,any
81000,80720-82720,80720-88720,any
81500,81219-83219,81219-89219,any
82000,81718-83718,81718-89718,any
82500,82217-84217,82217-90217,any
83000,82716-84716,82716-90716,any
83500,83215-85215,83215-91215,any
84000,83714-85714,83714-91714,any
84500,84213-86213,84213-92213,any
85000,84712-86712,84712-92712,any
85500,85211-87211,85211-93211,any
86000,85710-87710,85710-93710,any
86500,86209-88209,86209-94209,any
87000,86708-88708,86708-94708,any
87500,87207-89207,87207-95207,any
88000,87706-89706,87706-95706,any
88500,88205-90205,88205-96205,any
89000,88704-90704,88704-96704,any
89500,89203-91203,89203-97203,any
90000,89702-91702,89702-97702,any
90500,90201-92201,90201-98201,any
91000,90700-92700,90700-98700,any
91500,91199-93199,91199-99199,any
92000,91698-93698,91698-99698,any
92500,92197-94197,92197-100197,any
93000,92696-94696,92696-100696,any
93500,93195-95195,93195-101195,any
94000,93694-95694,93694-101694,any
94500,94193-96193,94193-102193,any
95000,94692-96692,94692-102692,any
95500,95191-97191,95191-103191,any
96000,95690-97690,95690-103690,any
96500,96189-98189,96189-104189,any
97000,96688-98688,96688-104688,any
97500,97187-99187,97187-105187,any
98000,97686-99686,97686-105686,any
98500,98185-100185,98185-106185,any
99000,98684-100684,98684-106684,any
99500,99183-101183,99183-107183,any
99999,99681-101681,99681-107681,any
